192.168.183.1 - - [19/Jun/2018:15:56:54 +0800] "POST /manager/ajax.html?ajax=getLocation HTTP/1.1" 200 332
192.168.183.1 - - [19/Jun/2018:15:57:09 +0800] "POST /manager/ajax.html?ajax=editLocation HTTP/1.1" 200 14
192.168.183.1 - - [19/Jun/2018:15:57:12 +0800] "GET /manager/showtotal.html HTTP/1.1" 200 68291
192.168.183.1 - - [19/Jun/2018:15:57:12 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 304 -
192.168.183.1 - - [19/Jun/2018:15:57:15 +0800] "POST /manager/ajax.html?ajax=getArea HTTP/1.1" 200 1416
192.168.183.1 - - [19/Jun/2018:15:57:15 +0800] "POST /manager/ajax.html?ajax=getMassif HTTP/1.1" 200 1801
192.168.183.1 - - [19/Jun/2018:15:59:07 +0800] "GET /manager/showtotal.html HTTP/1.1" 200 68291
192.168.183.1 - - [19/Jun/2018:15:59:07 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 304 -
192.168.183.1 - - [19/Jun/2018:15:59:09 +0800] "POST /manager/ajax.html?ajax=getArea HTTP/1.1" 200 1416
192.168.183.1 - - [19/Jun/2018:16:05:04 +0800] "POST /manager/ajax.html?ajax=getMassif HTTP/1.1" 200 1801
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/showtotal.html HTTP/1.1" 200 68299
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/css/jquery-ui.min.css HTTP/1.1" 200 27848
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/css/global.css HTTP/1.1" 200 5047
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/css/combox.css HTTP/1.1" 200 284
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/css/SimpleGrid.css HTTP/1.1" 200 1030
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery.form.min.js HTTP/1.1" 200 15248
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/globalize.js HTTP/1.1" 200 47289
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/css/jquery-ui-timepicker-addon.css HTTP/1.1" 200 1705
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery.ui.datepicker-zh-CN.js HTTP/1.1" 200 1046
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery-ui-timepicker-zh-CN.js HTTP/1.1" 200 535
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/combox.js HTTP/1.1" 200 3371
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/Tdrag.js HTTP/1.1" 200 23624
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/globalize.culture.de-DE.js HTTP/1.1" 200 1981
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/common.js HTTP/1.1" 200 26445
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/dialog/dialog.js HTTP/1.1" 200 6363
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/modules.js HTTP/1.1" 200 624
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/labelinput/labelinput.js HTTP/1.1" 200 8674
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery-ui-timepicker-addon.js HTTP/1.1" 200 78771
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/jquery-ui.min.js HTTP/1.1" 200 237548
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/images/bar.png HTTP/1.1" 200 183211
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/SimpleGrid.js HTTP/1.1" 200 13212
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/amapinit.js HTTP/1.1" 200 15330
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/images/doclist.png HTTP/1.1" 200 253688
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/button/button.js HTTP/1.1" 200 1675
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/messagebox.js HTTP/1.1" 200 5331
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/js/echarts.min.js HTTP/1.1" 200 442937
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/button/button.css HTTP/1.1" 200 313
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/labelinput/labelinput.css HTTP/1.1" 200 676
192.168.183.1 - - [19/Jun/2018:16:05:33 +0800] "GET /manager/modules/dialog/dialog.css HTTP/1.1" 200 1419
192.168.183.1 - - [19/Jun/2018:16:05:35 +0800] "POST /manager/ajax.html?ajax=getArea HTTP/1.1" 200 1416
192.168.183.1 - - [19/Jun/2018:16:05:36 +0800] "POST /manager/ajax.html?ajax=getMassif HTTP/1.1" 200 1801
192.168.183.1 - - [19/Jun/2018:16:06:44 +0800] "POST /manager/ajax.html?ajax=statFinancing HTTP/1.1" 200 201
